	Kingdom	Phylum	Class	Order	Family	Genus	Species	Annotated
ASV104	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast
ASV105	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium		Cutibacterium
ASV106	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter		Curvibacter
ASV107	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Family_Bacillaceae	Family_Bacillaceae	Family_Bacillaceae
ASV108	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast
ASV109	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		Acinetobacter
ASV110	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia		Yersinia
ASV111	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast
ASV112	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	otitidis	Brevibacterium
ASV113	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		Lactobacillus Firm5
ASV114	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia		Burkholderia-Caballeronia-Paraburkholderia
ASV115	Bacteria	Firmicutes	Clostridia	Thermincolales	Thermincolaceae	Thermincola		Thermincola
ASV116	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria	Family_Mitochondria	Family_Mitochondria
ASV117	Bacteria	Firmicutes	Clostridia	Thermincolales	Thermincolaceae	Thermincola		Thermincola
ASV118	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium		Brachybacterium
ASV119	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudochrobactrum		Pseudochrobactrum
ASV120	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia		Burkholderia-Caballeronia-Paraburkholderia
ASV121	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus		Lactococcus
ASV122	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium		Brevibacterium
ASV123	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Schlegelella		Schlegelella
ASV124	Bacteria	Proteobacteria	Gammaproteobacteria	Class_Gammaproteobacteria	Class_Gammaproteobacteria	Class_Gammaproteobacteria	Class_Gammaproteobacteria	Class_Gammaproteobacteria
ASV125	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Garicola		Garicola
ASV126	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria	Family_Mitochondria	Family_Mitochondria
ASV127	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast
ASV128	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum		Methylobacterium-Methylorubrum
ASV129	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Family_Staphylococcaceae	Family_Staphylococcaceae	Family_Staphylococcaceae
